column,non_null_count,dtype
bachelors_count,1170,int64
bachelors_plus_pct,1170,float64
baseline_svi_composite_z15,1170,float64
baseline_svi_pca_1,1170,float64
baseline_vulnerability_index,1170,float64
baseline_vulnerability_index_current,1170,float64
cpi,1170,float64
crowding_pct,1170,float64
disability_pct,1170,float64
doctorate_count,1170,int64
doctorate_moe,1170,float64
earthquake_event,1170,int64
earthquake_x_svi,1170,float64
earthquake_x_svi_current,1170,float64
group_quarters_count,1170,int64
high_svi_q75,1170,int64
hs_graduate_count,1170,int64
hs_graduate_moe,1170,float64
hs_graduate_pct,1170,float64
hurricane_event,1170,int64
hurricane_windfield_hit,1170,float64
hurricane_x_svi,1170,float64
hurricane_x_svi_current,1170,float64
lat,1170,float64
limited_english_pct,1170,float64
lon,1170,float64
major_hurricane_count_200km,1170,float64
maria_window_2017_2019,1170,int64
max_seismic_mag,1170,float64
max_wind_knots,1170,float64
median_income_moe,1170,int64
median_income_nominal,1170,float64
median_income_real,1170,float64
min_quake_distance_km,1170,float64
minority_pct,1170,float64
mobile_homes_pct,1170,float64
multi_unit_housing_pct,1170,float64
municipality_id,1170,int64
municipio,1170,str
no_hs_diploma_pct,1170,float64
no_vehicle_pct,1170,float64
over_65_pct,1170,float64
pct_group_quarters,1170,float64
per_capita_income,1170,int64
per_capita_income_inv,1170,int64
post_earthquake_2020,1170,int64
post_maria,1170,int64
post_maria_x_high_svi,1170,int64
post_quake2020_x_high_svi,1170,int64
poverty_rate_pct,1170,float64
pr_annual_max_wind,1170,float64
pr_annual_storm_count,1170,float64
property_crime_rate,1170,float64
quake_count_100km,1170,float64
quake_count_50km,1170,float64
quake_count_mag35_100km,1170,float64
quake_window_2020_2022,1170,int64
seismic_3yr_sum,1170,float64
seismic_3yr_x_svi,1170,float64
seismic_3yr_x_svi_current,1170,float64
seismic_exposure_score_100km,1170,float64
seismic_exposure_score_50km,1170,float64
single_parent_pct,1170,float64
storm_count_100km,1170,float64
storm_count_200km,1170,float64
total_crime_rate,1170,float64
total_housing_units,1170,int64
total_housing_units_moe,1170,int64
total_population,1170,float64
total_population_16plus,1170,int64
total_population_16plus_moe,1170,int64
total_population_25plus,1170,int64
total_population_moe,1170,int64
ts_windfield_hit,1170,float64
under_18_pct,1170,float64
unemployment_rate_pct.1,1170,float64
uninsured_moe,1170,float64
uninsured_pct,1170,float64
violent_crime_rate,1170,float64
wind_3yr_sum,1170,float64
wind_3yr_x_svi,1170,float64
wind_3yr_x_svi_current,1170,float64
wind_exposure_score_100km,1170,float64
wind_exposure_score_200km,1170,float64
year,1170,int64
years_since_earthquake,1170,int64
years_since_earthquake_capped_5,1170,int64
years_since_hurricane,1170,int64
years_since_hurricane_capped_5,1170,int64
county_fips,1092,float64
earthquake_event_lag1,1092,float64
emp_pop_ratio_moe,1092,float64
emp_pop_ratio_pct,1092,float64
employment_proxy_count,1092,float64
establishment_count,1092,float64
geoid,1092,Int64
hurricane_event_lag1,1092,float64
income_growth,1092,float64
income_growth_3yr_avg,1092,float64
income_source_cpi,1092,float64
income_source_nominal,1092,float64
income_source_real,1092,float64
labor_force_participation_moe,1092,float64
labor_force_participation_pct,1092,float64
lag_hurricane_windfield_hit,1092,float64
lag_max_seismic_mag,1092,float64
lag_max_wind_knots,1092,float64
lag_pr_annual_max_wind,1092,float64
lag_pr_annual_storm_count,1092,float64
lag_quake_count_100km,1092,float64
lag_quake_count_50km,1092,float64
lag_seismic_exposure_score_100km,1092,float64
lag_seismic_exposure_score_50km,1092,float64
lag_storm_count_100km,1092,float64
lag_storm_count_200km,1092,float64
lag_total_crime_rate,1092,float64
lag_wind_exposure_score_100km,1092,float64
lag_wind_exposure_score_200km,1092,float64
min_storm_distance_km,1092,float64
property_crime_change,1092,float64
state_fips,1092,float64
svi_composite_z15,1092,float64
svi_pca_1,1092,float64
target_pop_change,1092,float64
target_pop_change_1y,1092,float64
target_pop_change_1y_winsor_1_99,1092,float64
unemployment_rate_moe,1092,float64
unemployment_rate_pct,1092,float64
violent_crime_change,1092,float64
vulnerability_index,1092,float64
burglary,1076,float64
burglary_rate,1076,float64
larceny / theft,1076,float64
total,1076,float64
robbery,1073,float64
robbery_rate,1073,float64
murder,1054,float64
murder_rate,1054,float64
employment_proxy_growth,1014,float64
employment_ratio_change,1014,float64
labor_force_participation_change,1014,float64
lag_pop_change_1,1014,float64
lag_property_crime_change,1014,float64
lag_violent_crime_change,1014,float64
target_pop_change_2y_avg,1014,float64
target_pop_change_2y_avg_winsor_1_99,1014,float64
unemployment_rate_change,1014,float64
lag_pop_change_2,936,float64
target_pop_change_3y_avg,936,float64
target_pop_change_3y_avg_winsor_1_99,936,float64
establishments_micro_1to4,858,float64
establishments_pct_micro,858,float64
establishments_retail_trade,858,float64
establishments_total_all_sectors,858,float64
establishments_tourism_hospitality,858,float64
establishments_healthcare,852,float64
establishments_construction,822,float64
establishments_professional_services,812,float64
establishment_growth,780,float64
lag_establishment_growth,780,float64
